customer_id,name,city,total_revenue,total_sales,total_units
24,Cust24,Hyderabad,233449,3,7
13,Cust13,Chennai,230502,5,11
17,Cust17,Chennai,220322,3,7
34,Cust34,Chennai,213216,2,5
41,Cust41,Mumbai,154246,2,4
23,Cust23,Hyderabad,147509,3,6
50,Cust50,Hyderabad,144497,2,5
37,Cust37,Bangalore,135511,2,4
4,Cust4,Mumbai,133266,2,4
5,Cust5,Bangalore,126977,2,3
27,Cust27,Chennai,119295,1,3
49,Cust49,Chennai,111026,3,5
42,Cust42,Mumbai,99363,1,3
45,Cust45,Mumbai,97857,1,3
6,Cust6,Mumbai,94894,1,2
3,Cust3,Mumbai,85506,3,3
29,Cust29,Hyderabad,83502,2,4
19,Cust19,Mumbai,83484,2,5
12,Cust12,Bangalore,65964,1,3
32,Cust32,Hyderabad,57773,4,5
9,Cust9,Chennai,40578,1,2
28,Cust28,Chennai,40116,2,4
10,Cust10,Chennai,39733,1,1
40,Cust40,Chennai,34800,1,2
20,Cust20,Hyderabad,26280,1,3
7,Cust7,Hyderabad,20289,1,1
18,Cust18,Mumbai,18630,1,1
48,Cust48,Hyderabad,17520,1,2
8,Cust8,Bangalore,15156,1,3
2,Cust2,Bangalore,9810,1,3
22,Cust22,Hyderabad,7568,1,1
26,Cust26,Bangalore,6540,1,2
16,Cust16,Chennai,5052,1,1
43,Cust43,Chennai,1839,1,3
36,Cust36,Mumbai,1759,2,2
46,Cust46,Hyderabad,1464,1,3
