agent_id,agent_name,region,total_premium_handled,policies_handled,overall_rank,region_rank
14,Agent14,East,39883,4,1,1
9,Agent9,East,25259,4,13,2
19,Agent19,East,25176,4,14,3
6,Agent6,East,13058,5,18,4
10,Agent10,North,37613,3,2,1
20,Agent20,North,37593,6,3,2
8,Agent8,North,27553,2,8,3
15,Agent15,North,27201,5,10,4
2,Agent2,North,26185,3,12,5
16,Agent16,North,14704,1,17,6
13,Agent13,South,36692,4,4,1
7,Agent7,South,30257,2,6,2
1,Agent1,South,27707,5,7,3
5,Agent5,South,27343,7,9,4
17,Agent17,South,4114,1,19,5
11,Agent11,West,32466,3,5,1
12,Agent12,West,26848,3,11,2
4,Agent4,West,24100,3,15,3
3,Agent3,West,23204,5,16,4
