customer_id,name,age,city,total_premium,policy_count,total_claim,claim_count,risk_score
1,Cust1,25,Bangalore,17437,2,29747,4,1.706
2,Cust2,52,Chennai,872,1,2059,1,2.3612
3,Cust3,46,Bangalore,4360,1,0,0,0.0
4,Cust4,58,Hyderabad,16719,2,23940,2,1.4319
5,Cust5,36,Hyderabad,5836,2,14832,3,2.5415
6,Cust6,50,Mumbai,3629,1,12245,1,3.3742
7,Cust7,43,Chennai,0,0,0,0,
8,Cust8,32,Chennai,9978,1,14391,2,1.4423
9,Cust9,47,Hyderabad,10514,1,0,0,0.0
10,Cust10,39,Mumbai,2972,1,3636,1,1.2234
11,Cust11,42,Hyderabad,21871,3,7548,3,0.3451
12,Cust12,33,Bangalore,25754,2,6667,1,0.2589
13,Cust13,57,Hyderabad,0,0,0,0,
14,Cust14,60,Mumbai,16596,1,7541,2,0.4544
15,Cust15,30,Hyderabad,12317,2,0,0,0.0
16,Cust16,56,Bangalore,14656,2,24500,2,1.6717
17,Cust17,51,Chennai,13706,3,20919,3,1.5263
18,Cust18,36,Mumbai,39181,3,19870,5,0.5071
19,Cust19,35,Hyderabad,17219,2,36814,5,2.138
20,Cust20,43,Bangalore,0,0,0,0,
21,Cust21,45,Chennai,6560,2,19279,3,2.9389
22,Cust22,40,Hyderabad,0,0,0,0,
23,Cust23,30,Mumbai,1102,1,13117,1,11.9029
24,Cust24,24,Mumbai,0,0,0,0,
25,Cust25,49,Bangalore,11188,1,0,0,0.0
26,Cust26,31,Mumbai,0,0,0,0,
27,Cust27,25,Chennai,0,0,0,0,
28,Cust28,46,Bangalore,31933,3,5878,1,0.1841
29,Cust29,34,Chennai,0,0,0,0,
30,Cust30,35,Mumbai,4114,1,0,0,0.0
31,Cust31,20,Chennai,26511,2,12294,1,0.4637
32,Cust32,35,Bangalore,13457,2,24384,3,1.812
33,Cust33,41,Mumbai,19184,2,0,0,0.0
34,Cust34,22,Bangalore,16357,2,0,0,0.0
35,Cust35,59,Hyderabad,605,1,0,0,0.0
36,Cust36,32,Chennai,0,0,0,0,
37,Cust37,59,Hyderabad,2390,1,0,0,0.0
38,Cust38,35,Chennai,0,0,0,0,
39,Cust39,29,Mumbai,0,0,0,0,
40,Cust40,26,Bangalore,0,0,0,0,
41,Cust41,51,Chennai,19872,1,0,0,0.0
42,Cust42,25,Mumbai,0,0,0,0,
43,Cust43,52,Mumbai,16770,1,0,0,0.0
44,Cust44,44,Hyderabad,12480,1,0,0,0.0
45,Cust45,55,Mumbai,23148,3,4744,2,0.2049
46,Cust46,31,Hyderabad,378,1,7373,1,19.5053
47,Cust47,24,Bangalore,16608,1,26647,2,1.6045
48,Cust48,60,Mumbai,14425,1,2227,1,0.1544
49,Cust49,26,Bangalore,0,0,0,0,
50,Cust50,58,Bangalore,21242,2,2747,2,0.1293
51,Cust51,60,Chennai,0,0,0,0,
52,Cust52,47,Chennai,18568,2,2140,1,0.1153
53,Cust53,48,Mumbai,19858,2,8508,1,0.4284
54,Cust54,25,Chennai,2962,1,23605,2,7.9693
55,Cust55,27,Mumbai,1322,1,5394,1,4.0802
56,Cust56,34,Chennai,17301,2,28118,2,1.6252
57,Cust57,54,Bangalore,0,0,0,0,
58,Cust58,29,Bangalore,2618,1,10908,1,4.1665
59,Cust59,51,Chennai,8442,1,12838,1,1.5207
60,Cust60,39,Hyderabad,13450,1,0,0,0.0
