customer_id,name,city,total_premium,total_claim,risk_score,city_risk_rank
58,Cust58,Bangalore,2618,10908,4.1665,1
32,Cust32,Bangalore,13457,24384,1.812,2
1,Cust1,Bangalore,17437,29747,1.706,3
16,Cust16,Bangalore,14656,24500,1.6717,4
47,Cust47,Bangalore,16608,26647,1.6045,5
12,Cust12,Bangalore,25754,6667,0.2589,6
28,Cust28,Bangalore,31933,5878,0.1841,7
50,Cust50,Bangalore,21242,2747,0.1293,8
3,Cust3,Bangalore,4360,0,0.0,9
25,Cust25,Bangalore,11188,0,0.0,9
34,Cust34,Bangalore,16357,0,0.0,9
20,Cust20,Bangalore,0,0,,10
40,Cust40,Bangalore,0,0,,10
49,Cust49,Bangalore,0,0,,10
57,Cust57,Bangalore,0,0,,10
54,Cust54,Chennai,2962,23605,7.9693,1
21,Cust21,Chennai,6560,19279,2.9389,2
2,Cust2,Chennai,872,2059,2.3612,3
56,Cust56,Chennai,17301,28118,1.6252,4
17,Cust17,Chennai,13706,20919,1.5263,5
59,Cust59,Chennai,8442,12838,1.5207,6
8,Cust8,Chennai,9978,14391,1.4423,7
31,Cust31,Chennai,26511,12294,0.4637,8
52,Cust52,Chennai,18568,2140,0.1153,9
41,Cust41,Chennai,19872,0,0.0,10
7,Cust7,Chennai,0,0,,11
27,Cust27,Chennai,0,0,,11
29,Cust29,Chennai,0,0,,11
36,Cust36,Chennai,0,0,,11
38,Cust38,Chennai,0,0,,11
51,Cust51,Chennai,0,0,,11
46,Cust46,Hyderabad,378,7373,19.5053,1
5,Cust5,Hyderabad,5836,14832,2.5415,2
19,Cust19,Hyderabad,17219,36814,2.138,3
4,Cust4,Hyderabad,16719,23940,1.4319,4
11,Cust11,Hyderabad,21871,7548,0.3451,5
9,Cust9,Hyderabad,10514,0,0.0,6
15,Cust15,Hyderabad,12317,0,0.0,6
35,Cust35,Hyderabad,605,0,0.0,6
37,Cust37,Hyderabad,2390,0,0.0,6
44,Cust44,Hyderabad,12480,0,0.0,6
60,Cust60,Hyderabad,13450,0,0.0,6
13,Cust13,Hyderabad,0,0,,7
22,Cust22,Hyderabad,0,0,,7
23,Cust23,Mumbai,1102,13117,11.9029,1
55,Cust55,Mumbai,1322,5394,4.0802,2
6,Cust6,Mumbai,3629,12245,3.3742,3
10,Cust10,Mumbai,2972,3636,1.2234,4
18,Cust18,Mumbai,39181,19870,0.5071,5
14,Cust14,Mumbai,16596,7541,0.4544,6
53,Cust53,Mumbai,19858,8508,0.4284,7
45,Cust45,Mumbai,23148,4744,0.2049,8
48,Cust48,Mumbai,14425,2227,0.1544,9
30,Cust30,Mumbai,4114,0,0.0,10
33,Cust33,Mumbai,19184,0,0.0,10
43,Cust43,Mumbai,16770,0,0.0,10
24,Cust24,Mumbai,0,0,,11
26,Cust26,Mumbai,0,0,,11
39,Cust39,Mumbai,0,0,,11
42,Cust42,Mumbai,0,0,,11
