claim_id,policy_id,claim_amount,claim_date,status
201,128,2016,2023-07-04,Rejected
202,189,3524,2023-06-10,Approved
203,151,6667,2023-02-05,Rejected
204,170,5569,2023-02-15,Rejected
205,153,13249,2023-09-01,Rejected
206,150,8459,2023-03-28,Rejected
207,152,11831,2023-06-07,Pending
208,150,5932,2023-05-22,Approved
209,170,8158,2023-04-30,Pending
210,156,13267,2023-07-13,Approved
211,182,12279,2023-08-08,Rejected
212,174,13997,2023-03-21,Pending
213,119,7369,2023-08-23,Rejected
214,168,14982,2023-06-08,Pending
215,146,13203,2023-03-02,Rejected
216,161,4108,2023-07-07,Approved
217,194,-344,2023-05-22,Pending
218,125,9804,2023-09-13,Approved
219,112,6109,2023-02-17,Pending
220,162,13753,2023-07-16,Pending
221,190,11134,2023-04-12,Approved
222,143,3817,2023-10-11,Rejected
223,171,9525,2023-01-08,Rejected
224,156,1400,2023-03-17,Pending
225,198,-1849,2023-03-24,Approved
226,181,6380,2023-08-07,Approved
227,122,14163,2023-10-01,Rejected
228,127,13644,2023-06-14,Approved
229,154,8419,2023-03-17,Pending
230,138,12838,2023-05-30,Approved
231,127,10296,2023-04-22,Rejected
232,134,5878,2023-08-24,Rejected
233,145,2140,2023-05-28,Rejected
234,114,13117,2023-03-25,Rejected
235,141,3192,2023-06-11,Approved
236,176,5394,2023-07-14,Approved
237,155,13537,2023-04-09,Rejected
238,108,10908,2023-09-29,Rejected
239,135,12294,2023-09-27,Approved
240,185,1512,2023-10-11,Pending
241,171,105,2023-01-23,Approved
242,188,2507,2023-08-06,Pending
243,189,-425,2023-09-22,Rejected
244,119,-1334,2023-06-25,Rejected
245,142,-927,2023-03-09,Pending
246,126,3636,2023-09-07,Approved
247,157,1397,2023-07-28,Rejected
248,184,11409,2023-09-10,Rejected
249,167,-1286,2023-09-02,Pending
250,141,-883,2023-09-13,Pending
251,118,9669,2023-05-26,Approved
252,190,7154,2023-03-27,Pending
253,157,9716,2023-04-05,Approved
254,146,13444,2023-01-23,Approved
255,112,1432,2023-10-08,Rejected
256,106,8508,2023-04-03,Rejected
257,103,8969,2023-10-11,Pending
258,130,2227,2023-05-23,Pending
259,125,10332,2023-10-08,Approved
260,171,-1537,2023-02-19,Approved
261,180,13362,2023-02-13,Rejected
262,157,2359,2023-04-24,Rejected
263,154,9574,2023-08-07,Rejected
264,163,2059,2023-04-03,Rejected
265,101,7373,2023-03-14,Pending
266,157,9805,2023-03-15,Approved
267,180,2053,2023-07-07,Approved
268,111,-964,2023-07-30,Pending
269,170,2023,2023-04-20,Pending
270,109,6252,2023-10-25,Pending
271,141,10757,2023-01-30,Approved
272,164,12245,2023-07-14,Pending
273,115,12669,2023-01-26,Rejected
274,128,-731,2023-08-18,Pending
275,199,9528,2023-03-16,Pending
276,140,11854,2023-07-24,Approved
277,153,10356,2023-08-11,Pending
278,192,9657,2023-08-24,Approved
279,168,13136,2023-06-08,Approved
280,161,2476,2023-06-27,Rejected
