policy_id,customer_id,policy_type,premium,start_date
101,46,Life,378,2023-08-12
102,60,Auto,13450,2023-09-10
103,32,Life,-1484,2023-06-29
104,53,Auto,16546,2023-08-19
105,50,Life,-4031,2023-08-31
106,53,Health,-3312,2023-08-14
107,33,Health,-4094,2023-03-02
108,58,Auto,2618,2023-10-05
109,17,Life,1509,2023-02-26
110,9,Life,10514,2023-05-10
111,11,Health,6363,2023-02-20
112,14,Life,16596,2023-10-23
113,12,Auto,9760,2023-10-28
114,23,Auto,-1102,2023-10-08
115,16,Auto,-3460,2023-03-11
116,15,Auto,11693,2023-08-18
117,28,Life,19215,2023-02-09
118,70,Auto,1960,2023-08-21
119,18,Health,15604,2023-08-07
120,69,Life,2812,2023-01-09
121,34,Life,10463,2023-03-29
122,65,Auto,3456,2023-05-07
123,44,Health,12480,2023-09-26
124,5,Life,-3927,2023-05-12
125,63,Health,14463,2023-02-17
126,10,Health,-2972,2023-06-27
127,4,Health,1795,2023-07-08
128,50,Auto,17211,2023-03-12
129,52,Health,-993,2023-06-15
130,48,Health,14425,2023-05-09
131,43,Health,16770,2023-05-16
132,3,Health,-4360,2023-07-28
133,65,Life,-2649,2023-09-07
134,28,Auto,-733,2023-10-08
135,31,Life,14704,2023-04-09
136,17,Health,514,2023-10-17
137,31,Life,11807,2023-05-11
138,59,Life,8442,2023-05-10
139,37,Auto,-2390,2023-05-15
140,61,Auto,-830,2023-04-14
141,5,Auto,-1909,2023-04-28
142,45,Auto,15333,2023-10-14
143,45,Auto,-4003,2023-01-06
144,69,Auto,-4821,2023-10-13
145,52,Health,17575,2023-07-19
146,47,Auto,16608,2023-05-08
147,25,Health,11188,2023-02-23
148,67,Health,8126,2023-02-20
149,18,Health,17409,2023-08-07
150,8,Health,9978,2023-06-24
151,12,Life,15994,2023-01-09
152,16,Life,11196,2023-10-12
153,54,Auto,2962,2023-01-29
154,21,Auto,4831,2023-02-01
155,19,Health,11368,2023-09-06
156,17,Life,11683,2023-02-10
157,19,Health,5851,2023-02-15
158,30,Health,-4114,2023-07-24
159,65,Health,14550,2023-06-02
160,28,Auto,11985,2023-08-20
161,11,Health,9652,2023-02-20
162,61,Health,461,2023-08-30
163,2,Auto,-872,2023-05-05
164,6,Health,-3629,2023-01-29
165,45,Life,3812,2023-10-10
166,4,Health,14924,2023-07-19
167,21,Life,1729,2023-10-01
168,56,Health,13140,2023-01-02
169,33,Life,15090,2023-02-25
170,1,Life,7256,2023-05-22
171,18,Life,6168,2023-01-18
172,56,Life,-4161,2023-05-21
173,41,Life,19872,2023-10-18
174,1,Auto,10181,2023-03-12
175,34,Life,5894,2023-08-04
176,55,Life,-1322,2023-02-22
177,11,Auto,5856,2023-03-13
178,35,Life,-605,2023-07-03
179,15,Auto,-624,2023-01-19
180,32,Life,11973,2023-06-13
