policy_id,agent_id
125,15
105,5
115,9
130,12
143,5
120,18
143,11
116,11
166,7
108,20
131,9
180,2
106,15
102,15
161,5
110,12
145,13
158,17
132,1
148,1
134,13
136,5
174,2
171,3
114,9
129,14
109,6
141,12
166,13
142,7
133,14
163,3
156,10
145,8
119,1
121,19
123,14
111,4
122,12
134,15
101,1
135,16
133,7
123,10
144,11
124,19
178,6
165,20
158,5
115,13
102,10
106,6
150,8
126,20
140,6
136,20
153,3
178,19
124,5
160,14
151,20
162,14
131,11
109,1
124,9
109,3
106,4
143,6
175,15
165,15
116,3
130,4
174,19
164,6
148,10
177,1
105,2
114,5
130,14
156,20
